,Titles,Articles,Urls
0,Bouteflika ally named Algeria's first new president in 20 years - Daily Monitor,"Algerian lawmakers appointed a regime stalwart as the country's first new president in two decades Tuesday, dismaying protesters seeking sweeping change following the resignation of veteran leader Abdelaziz Bouteflika. The election of upper house speaker Abdelkader Bensalah as interim president follows constitutional rules but goes against the demands of demonstrators, who have pushed for him and other top politicians to stand down.""I want to work towards fulfilling the interests of the people,"" Bensalah, a trusted ally of Bouteflika, told parliament on taking up the 90-day interim presidency.""It's a great responsibility that the constitution demands of me,"" the 77-year-old added.Opposition parties refused to back the appointment of the seasoned establishment insider and boycotted the session, as thousands of students protested against him in Algiers.""Resign Bensalah!"" they chanted, clutching hand-written placards and Algerian flags.For the first time in seven weeks police in the capital fired tear gas to try to disperse the protest by students, who were also hit with water cannon.On Friday -- in the first weekly mass protest since Bouteflika announced his departure after losing the military's support -- Algerians demanded regime insiders be excluded from the political transition.Ahead of the parliamentary session, an editorial in pro-government daily El Moudjahid on Tuesday suggested Bensalah should step aside from the presidential post.He is ""not tolerated by the citizen movement, which demands his immediate departure,"" or by the opposition and various political groups in both houses of parliament, the newspaper said.- 'Voice of the people' -Three men in particular have drawn demonstrators' ire: Bensalah, the head of the constitutional council Tayeb Belaiz and prime minister Noureddine Bedoui.The protest movement is calling for a new transitional framework that is committed to deep reforms and organising free elections.Ahead of Bensalah's appointment, calls continued for the speaker to step down.""He has to resign, it's the voice of the people and the people must be right,"" said 50-year-old Mourad, an entrepreneur who will protest Friday with his two young daughters.""They don't know that there's democracy... I want to teach them what freedom is,"" he added.Algerians of all ages have rallied since late February against Bouteflika, who resigned a week ago after efforts to appease demonstrators proved fruitless.Although the 82-year-old's resignation was celebrated by protesters, they have remained firm in pushing for a wider overhaul of the political system.Human Rights Watch said Bouteflika's departure is ""at most a first step in ending autocratic rule.""""During any transitional phase, authorities should fully respect the rights of Algerians to speak, assemble and associate with one another,"" the watchdog said in a statement.Demonstrators in huge numbers have defied a protest ban in Algiers, and HRW on Tuesday called on authorities to overhaul laws ""on association and assembly that stifle rights.""",https://www.monitor.co.ug/News/World/Bouteflika-ally-named-Algeria-s-first-new-president-20-years/688340-5063880-euwet5/index.html
1,School heads in Kinkiizi Diocese face demotion over poor grades - Daily Monitor,"Kanungu. Head teachers in Church of Uganda-founded primary schools in Kinkiizi Diocese that fail to register pupils in Division One this academic year will be demoted, Bishop Dan Zoreka has said. Non-performing head teachers will be demoted to classroom teachers because the diocese shall not tolerate them in the education department as team leaders. You either take charge and improve academic performance or go back to classroom as teachers. Work in silence and let success make noise,  Bishop Zoreka said yesterday.He was addressing head teachers, chairpersons of Parents Teachers Association and their school management committee chairpersons in Kanungu District.Statistics issued by Rev Stella Arineitwe, the education secretary of Kinkiizi Diocese, indicate that out of 2,475 pupils from 83-church founded primary schools in Kanungu that sat for Primary Leaving Examinations last year, only 123 passed in first grade.Mr Emmy Ngabirano, the deputy Resident District commissioner, said they are ready to support proposals on improving academic standards. The system of recycling and transferring head teachers that have failed to register pupils passing in grade one shall not be entertained. If you feel that you are tired, just request for early retirement and let people that are fresh and dynamic take the leadership positions you are currently occupying,  Mr Ngabirano said. How come Senior Four and Six dropouts teaching in private schools make pupils pass in grade one despite the small salaries they get and you that are being well paid by government fail to make it   he added.Ms Josephine Katsya, the district chairperson, said poor academic performance in government schools in the area is worrying.She said in the next 10 years, the district might not raise technical personnel to work in their own district because many students drop out of school before completing Senior Four.Mr Charles Sunday, the district education officer, warned head teachers against absenteeism, saying it interferes with the learning procedure. He wondered why teachers in government are not performing well. There is need for a by-law banning proprietors of private schools from taking away bright pupils in government schools after promising heaven and earth to their parents because such trends sabotage Universal Primary Education,  Mr Sunday said.Mr John Tereraho, an education consultant with World Vision, called for team work to improve academic performance.Mr Kenneth Tusingwire, the head teacher for Nyakatare Primary School, called for increase in teachers  welfare by providing them with meals and other incentives if performance is to improve. I worked at Kihiihi Primary School and the academic standards were the best in the district because parents agreed to raise extra money to motivate teachers. I am sure that if this is done, performance will improve,  Mr Tusingwire said.ConcernsOther head teachers cited absenteeism of pupils, teachers staying at one station for long, poor administrators, neglect by the foundation bodies, lack of staff accommodation and negative attitude on UPE schools by parents among others, as the major causes of poor performance. They suggested that sensitisation of all stake holders, especially being reminded of their respective roles would change the situation.[email protected]",https://www.monitor.co.ug/News/National/School-heads-Kinkiizi-Diocese-face-demotion-over-poor-grades/688334-5063780-c1ln5h/index.html
2,Gunmen shoot two in mobile money robbery - Daily Monitor,"Two unidentified gunmen on Sunday night shot and injured two people in Mpongo Village in Mpasana Sub-county in Kakumiro District before taking off with unspecified amount of money from a mobile money agent.The men, who were riding on a motorcycle at about 10:30pm, attacked a mobile money agent whom police identified as Mr Amos Mugisha and robbed him of money and his mobile phone before they attacked another shop attendant. Mr Najib Waiswa, the district police commander, identified the injured as Mr Kussein Kasaija, 42, and Mr Posoko Sekiwere, 23, all residents of Mpongo and Mukora villages, respectively.  They pointed a gun at me and asked me to give them all the money that I had. I gave them Shs.1.3 million. They proceeded to the next shop where I heard them firing bullets,   Mr Mugisha said. Eyewitnesses say the armed men attempted to rob another businesswoman but failed.Her son, Mr Sekiwere, engaged the robbers in a scuffle prompting them to shoot him, police said. As they fled, residents mobilised and barricaded the road to prevent them from escaping but in the process, Mr Kasaija was shot.The injured were taken for first aid and later to Hoima referral hospital. Police say they have started investigating the matter.  We are in touch with local people and we shall bring the perpetrators to book,   Mr Waiswa said yesterday. In a related incident, police in Kagadi District are holding a woman and four other relatives in connection with the murder of her husband Vincent Sabimaana, a businessman in Kyabitundu Village in Rugashaali Sub-county. Sabimaana s body was found at the weekend.Police investigations and a post-mortem report shows that he was strangled to death.Mr Romeo Ojara Oneck, the district police commander, attributed the killing to domestic violence.ArrestsLast month, police said they arrested at least eight suspects in mobile money robberies and killings registered in four weeks in different districts. Police also said five suspects, who were targeting Savings and Credit Cooperative Organisations were apprehended. Police spokesperson Fred Enanga said robberies targeting mobile money operators and Saccos were registered between February 12 and March 7 in Wakiso, Busia, Mbale, Masaka, Kalungu and Mbarara districts in which two mobile money operators were shot dead.[email protected]",https://www.monitor.co.ug/News/National/Gunmen-shoot-two-in-mobile-money-robbery/688334-5063772-l9vynk/index.html
3,"Help local communities benefit from tourism, experts tell government - Daily Monitor","Kampala. Government should find innovative ways of helping communities around protected areas earn from tourism if they are to appreciate and protect the parks, experts have suggested.Dr Dilys Roe, a researcher at the International Institute for Environment and Development (IIED), a London-based think-tank, said if communities feel that parks do not benefit them, they resort to poaching.She made the remarks while giving a keynote address into the threats to the Bwindi Impenetrable National Park and some innovative ideas for new community-based solutions in Kampala last week. The lecture was organised by Aga Khan Development Network. Citing their nearly two years  experience in helping communities around Bwindi tap into tourism, Dr Roe said many people can benefit from gorilla tracking indirectly through selling items to tourists. Gorillas are key attraction in Uganda. They are particularly important because there aren t many countries in the world where you can find gorillas. So the tourism market is here or in Rwanda,  she said.  That really sounds positive, but the other side of the story is where that money goes. Dr Roe said local communities can earn from tourism if they are trained to work as professional guides, sell food or offer authentic cultural experiences and not necessarily wait for the 10 per cent park revenue ploughed back by government. TrainingShe said IIED has already trained some residents to offer the services.Gorilla-tracking in Bwindi generates revenue for conservation, but local benefits from tourism are limited and the illegal use of the park s resources continues.Tourism is a top foreign exchange earner and Uganda last year raked in $1.4b (Shs5 trillion) from the sector, according to government statistics.Mr Amin Mawji, the Aga Khan Development Network representative in Uganda, said the lectures are aimed at creating  a space for conversation... a space for illumination where leaders and opinion formers can come together to reflect on the big issues of our time, to explore new ideas and fresh perspectives, and to promote new solutions to the problems that face us and our children. The lecture examined some of the challenges facing the tourism sector. Prof Ephraim Kamuntu, the Tourism minister, lauded the Aga Khan Development Network for organising the lecture and contributing to the development of Uganda.He said government is committed to conserving the environment but sometimes they are let down by rampant poverty among Ugandans, bad attitude and the growing population of people and animals that compete for space.The lecture was attended by Mr Daudi Migereko, the chairman of Uganda Tourist Board, several ambassadors and senior leadership of the Uganda Wildlife Authority.[email protected]",https://www.monitor.co.ug/News/National/Help-local-communities-benefit-from-tourism-experts-tell-govt/688334-5063750-gaoykg/index.html
4,"Two arrested over kidnap of US tourist, guide in Uganda's safari park - Daily Monitor","Suspected kidnappers of US tourist Kimbley Sue Endicott have been arrested. Endicott and a Ugandan tour guide Jean Paul Mirenge Remezo were kidnapped by four gunmen, who hijacked their safari vehicle from Queen Elizabeth National Park on April 2. The gunmen had demanded a ransom of $500,000 (about Shs1.8b) using Ms Sue and Mirenge s cell phones. Police said the two were rescued from the Democratic Republic of Congo by a joint effort involving the Uganda police force, Uganda Peoples Defence Forces (UPDF) and sister security agencies. Reports indicate that the US military also provided support to Ugandan security forces to accomplish the mission. The support included intelligence, surveillance, and reconnaissance assets and liaison officers, according to US news outlets. READ:Kidnapped American tourist, guide were dumped in bush, found their way back on boda bodaMs Sue was handed over to the US Embassy in Kampala by Inspector General of Police Martin Okoth Ochola on Monday. Two of the four gunmen have reportedly been apprehended. The two were only identified as Hakim and Kwarishiima. Sources said the suspects were flown from Kanungu District in western Uganda where they were tracked using a device which was placed in the ransom money they received before setting Ms Sue and Mirenge free.""The joint security team actively investigating the kidnapping incident and successful recovery of an American tourist Ms. Kimberly Sue Endicott and a Senior Tour Guide, Jean Paul Mirenge- Remezo, has made some arrests of suspects, on suspicion of being involved in their kidnap,"" police tweeted on Tuesday. Police spokesperson Fred Enanga confirmed to URN that there were some arrests made in regard to the kidnap. He, however, declined to divulge details. ""I can confirm that there were some arrests but I am yet to get details. I will brief you when I get the information,"" Enanga said. US President Donald Trump on Monday tasked the Ugandan government to hunt the kidnappers and bring them to book. Uganda must find the kidnappers of the American tourist and guide before people will feel safe in going there. Bring them to justice openly and quickly,  President Trump tweeted. The kidnap cast a shadow on Queen Elizabeth National Park, one of the most visited tourist attractions which is home to lions, hippos, crocodiles and various types of antelopes.Additional reporting by URN",https://www.monitor.co.ug/News/National/Two-suspected-kidnappers-US-tourist-Sue-Endicott-guide-arrested/688334-5063712-myy7ko/index.html
5,"Kidnapped American tourist, guide were dumped in bush, found their way back on boda boda - Daily Monitor","Kampala. Latest information shows that the kidnapped US tourist and her Ugandan guide were dumped by kidnapers in the bush where they found their way back to their camp.The US national, Ms Kimberly Sue Endicott and the Ugandan guide, Jean Paul, were kidnapped on gunpoint in Queen Elizabeth National Park last Tuesday while on an evening game drive on Edward track between Katoke gate and Wilderness Camp in Kanungu District.They were released by the kidnappers on Sunday reportedly after payment of an unspecified ransom. It is not clear how or where the hostages were found, but sources said upon payment of the ransom, the kidnappers released them and they found their way out. Residents hired a boda boda rider who transported them back to their Wild Frontiers Camp at Ishasha on the Uganda-DR Congo border. The source said the Wild Frontiers, a local tour agency, then informed the security that the hostages had been released safely and the security officials picked them up for further information gathering. Search over. A joint task force by police, UPDF and US commandos at Wild Frontiers Camp at Ishasha in Kanungu District after the rescue.There are pictures showing Ms Kimberly riding on a boda boda with two other local passengers. The source said US commandos joined the search and rescue operation mounted by the Ugandan army, police and Uganda Wildlife Authority rangers. Daily Monitor could not readily establish what role the US security personnel played during the operation, but the source said they took part in  security discussions and strategy development.  The source did not elaborate. After the release, some of the US commandos were captured in pictures talking to Ms Kimberly. At some point, she is seen talking to the commandos, bare-footed, looking frail and distressed. Yesterday US President Donald Trump asked the Ugandan government to hunt the kidnappers and bring them to book. Uganda must find the kidnappers of the American tourist and guide before people will feel safe in going there. Bring them to justice openly and quickly,  President Trump tweeted. Police yesterday said the Uganda government wrote to DR Congo seeking joint operations to apprehend the kidnappers. Police said investigations revealed that the victims were kept in captivity in DR Congo for several days.Mr Fred Enanga, the police spokesperson, said the police and army of both countries will coordinate the hunt for the kidnappers on either side of the border.  We understand that the kidnap victims were taken to DRC. The two countries are working together to ensure that the criminals are apprehended,  Mr Enanga said yesterday. The Inspector General of Police, Mr Martins Okoth-Ochola, yesterday handed over the American tourist to the US Embassy in Kampala. Mr Enanga said police are also investigating whether the kidnappers have a local network in Uganda.There were reports that the kidnappers were paid a ransom to release the victims. However, Mr Enanga denied any involvement in the payment of a ransom. Security heads. Left to right: Lt Gen Charles Lutaaya, the Commander of the UPDF Air Force, Maj Gen Don Nabaasa, the Commander of the Special Forces, and Deputy IGP Muzeyi Sabiiti in Ishasha, Kanungu District. The police does not believe in paying ransom because it is like accepting the demands of the kidnappers,  he said. Mr Enanga said the ransom has not worked in previous kidnap incidents. He cited the kidnap of Suzan Magara, who was killed after a Shs700m ransom had been paid. PAST INCIDENTSOn January 7, armed Congolese militia kidnapped a resident of Munyaga cell in Western Ward of Butogota Town Council and demanded a ransom of Shs2m. Mr Elly Maate, the area police spokesperson, said the case was registered at Kanungu and he was released after his relatives paid a Shs1.5m ransom.In August last year, suspected armed Congolese militia shot and injured three businessmen in Queen Elizabeth National Park and kidnapped the fourth trader, Robert Mugabe. They demanded a ransom of $20,000 (about Shs74m) for Mugabe s release and he was released after relatives paid $7,500 (Shs28m) to the kidnappers. The businessmen were travelling in a lorry transporting fish to DR Congo.[email protected]",https://www.monitor.co.ug/News/National/Tourists-found-their-way-back-boda-boda/688334-5063560-po9k49z/index.html
6,Saudi Arabian tourist drowns in River Nile - Daily Monitor,"KAYUNGA- A combined team of marine police and local fishermen on Tuesday recovered the body of a Saudi Arabian tourist who drowned in river Nile at the weekend.Assistant Inspector General of Police, Mr Joseph Mugisa, who heads the Police Fire Brigade,said on Monday said that Alsubaie Mathkar drowned on Saturday at Kalagala Falls, in Kangulumira sub-county, Kayunga District, where he had gone with colleagues for a tour.Mr Mugisa and Mr Jamar Basalirwa the Police Commissioner, Protocol, oversaw the mission to retrieve the body from the roaring falls.The Mathkar was in company of two colleagues from Saudi Arabia, one Egyptian national and a Ugandan national, a source who requested to remain anonymous said.Mr Mugisa said Makhkar had spent four days in the country.Ms Hellen Butoto, the Ssezibwa Regional Police Spokesperson said Makhkar met his fate as he took a a selfie using his mobile phone.Ms Butoto said, Makhkar, however, slipped and fell in the fast-running water that swept him. On Monday we were able to recover one of his shoes near the spot of the accident. This gave us hope and a hint in which exact area we have to search,  Mr Mugisa said.He said that the Saudi Arabian ambassador to Uganda, Dr Abdallah Alkahtani and his deputy, Mr Bander Alfafi, were on Sunday and Monday at Kalagala Falls as the divers searched. He said the two envoys tried to board canoes and join the search teams but were restrained by security.Makhkar s body, Mr Mugisa said, was recovered by local fishermen on the banks of River Nile at Mutukula village, about 10 kilometres from the spot where he drowned.However, there was a fracas  between the fishermen and Saudi Arabian nationals as the former demanded for the Shs5 million reward, which they were reportedly promised by the Saudis, who allegedly wanted to offer Shs2 million.The fishermen refused to hand over the body until they were paid the full amount.Two sons of the deceased travelled from Saudi Arabia on Sunday night and camped at the site on Monday and Tuesday.The body has been taken to Mulago National Referral Hospital, for a post-mortem.It is not yet clear whether the body would be flown back to Saudi Arabia for burial.Residents told this reporter that a number of people have drowned at the very spot which has no barrier or sign to warn to visitors.  ",https://www.monitor.co.ug/News/National/Saudi-Arabian-tourist-drowns-River-Nile-Makhkar-Saudi-Arabian/688334-5063464-1cujnqz/index.html
7,"Remittances to developing world hit record in 2018, says World Bank - Daily Monitor","Money transfers to poor and developing countries hit a fresh record in 2018 and should become their largest source of external financing this year, the World Bank said Monday.But many banks and money transfer operators charged too much, cutting into the gains of migration, the bank said in a statement.Migrant workers and others sent home an estimated $529 billion to low- and middle-income countries last year, up 9.6 percent from the year before, which had also been a record.Such money transfers should hit $550 billion this year, making them the largest source of external finance, according to the bank.Money transfers were up 12 percent to $131 billion for South Asia and almost seven percent for East Asia, reaching $143 billion. Sub-Saharan Africa saw a 10 percent increase at $46 billion, according to the bank.The United States economy grew strongly while outbound flows from Gulf countries and Russia also rose, according to the bank, which said this explained much of the gains.Excluding China, the remittances amounted to $462 billion, significantly more than foreign direct investment over the period, which stood at $344 billion.Among the development goals set by the United Nations in 2015 was reducing the cost of remittances to three percent.However, banks on average were charging 11 percent in the first quarter of 2019 while post offices charged seven percent.""The high costs of money transfers reduce the benefits of migration,"" Dilip Ratha, the report's lead author, said in a statement.""Renegotiating exclusive partnerships and letting new players operate through national post offices, banks and telecommunications companies will increase competition and lower remittance prices.""Another factor making money transfer costs rise are banks' efforts to avoid money-laundering and terrorism finance.Some banks simply cease working with some money transfer organizations deemed too risky, according to the report.""Banks indicate that risks to their reputation... deter them from having correspondent bank accounts,"" it said. ",https://www.monitor.co.ug/News/World/Remittances-World-Bank-South-Asia-Migrant-workers/688340-5063618-s5yah2/index.html
8,"We will not ally with weak people, says FDC - Daily Monitor","Kampala. The Forum for Democratic Change (FDC) party has said they will not join an Opposition coalition which does not have capacity to take over power from President Museveni.Addressing a press conference at the party headquarters in Najjanankumbi, Kampala, yesterday, Mr John Kikonyogo, the FDC deputy spokesperson, said they are determined to take power and cannot entertain people who promise a lot but deliver nothing.  All we want right now is to take over power. We are obsessed with power. These people who are peddling their coalition things should look for other people and not FDC,  Mr Kikonyogo said.His comments come after the signing of a memorandum of understanding between Democratic Party, Social Democratic Party and People s Development Party to form what they called a strong DP bloc last Friday.Also present were other Opposition leaders; Maj Gen Mugisha Muntu of Alliance for National Transformation and Kyadondo East MP Robert Kyagulanyi, aka Bobi Wine, of People Power, a pressure group, and Justice Forum party, among others.The Opposition leaders accused Dr Kizza Besigye, the FDC flag bearer in last elections, of always shunning partnerships which could breed a strong force to push President Museveni out of power. They also accused him of discouraging the public from participating in elections on account that polls will not bring the desired regime yet he continued contesting in the same exercise.Mr Kikonyogo said forming a coalition with weak parties would deny Ugandans the chance to choose what and whom they want.  We have tried this before and were disappointed. They always call us assuring us that we would get someone through consensus ... which is unfair. This is why we shall not accept this,  Mr Kikonyogo said.  We have now gone into a countrywide consultation. We want to see what the people want because last time when everyone saw Mr Amama [Mbabazi], they thought he was the messiah but in the end people voted for Dr Besigye,  he added. READ: I will keep fighting to reclaim my 2016 victory, says BesigyeIn 2016, the Opposition formed The Democratic Alliance (TDA) to choose one candidate to challenge President Museveni in the elections. Dr Besigye and former prime minister Amama Mbabazi were the front runners.However, both contested against Mr Museveni after TDA failed to make a pick. Recently, Dr Besigye said he pulled out of the TDA deal when he asked Mr Mbabazi on what strategy he had to stop the vote rigging by the ruling NRM party. Mr Mbabazi said he would reveal his plan after he had been elected the joint Opposition candidate.[email protected]",https://www.monitor.co.ug/News/National/We-will-not-ally-with-weak-people-says-FDC/688334-5063600-lgq4m1/index.html
9,Heavy rain disrupts Kampala traffic - Daily Monitor,"Heavy rain on Tuesday brought traffic flow to a standstill in Kampala city.Jinja Road is one of the most affected routes since some sections like Lugogo Bypass are flooded.The Clock Tower junction was also flooded, according to police.Mr Luke Owoyesigyire, the Kampala Metropolitan Police deputy spokesman, said they are experiencing traffic problems at Clock Tower and Banda, due to heavy rain.He said the two areas have no major alternative routes.Earlier, Kampala Metropolitan Police Traffic commander, Mr Norman Musinga advised motorists who use Jinja Road, to use other roads. Those of you coming from Jinja Road, the road is affected temporarily. Water has cut the whole of Lugogo Bypass. Small cars can't access. We advise the people with small cars to pass other roads connecting to the city centre,  Mr Musinga's message he  posted on Whatsapp, a social media platform, reads.  The traffic jam goes all the way to Banda and beyond. Motorists have created various lanes on different parts of the road in a bid to get ahead but have instead made the jam worse, according to Mr Joseph Beyanga, a motorist who says he has been stuck in traffic on Jinja Road for almost an hour.A traffic gridlock on Jinja Road due to a Tuesday downpour.  Photo by Joseph Beyanga ",https://www.monitor.co.ug/News/National/Heavy-rain--Musinga-Kampala-traffic-Clock-Tower-Banda/688334-5063042-5eupchz/index.html
