,Titles,Articles,Urls,Images
0,"Officer killed, three others injured in Mbale gunfire exchange with robbers - Daily Monitor","MBALE: One police officer has been confirmed dead and three others seriously injured in a gunfire exchange with armed robbers at Nabumali trading centre in Nabumali Town Council in Mbale District, eastern Uganda.Eye witnesses said the Thursday afternoon gunfire exchange ensued after officers attached to police s Flying Squad Unit shot at the tyres of the car in which the suspected robbers were driving during a chase along Mbale   Lwakhakha road.The yet to be identified thugs, who were travelling in a Toyota Mark 11- Reg No -UAP 283Y, reportedly stopped and fired at the police officers, indiscriminately. According to the locals, the shoot-out lasted for about 15 minutes.The thugs, according to eyewitnesses, overpowered the police officers and took off abandoning their vehicle at Natodome village in Bubirabi Sub County, two kilometres from the scene of crime.The Elgon Police Spokesperson, Mr Robert Tukei confirmed the incident and said one of the officers was killed in the shoot-out. The police officers engaged the robbers for about five minutes but it s unfortunate that during the battle, one of our officers lost his life,  he said.Mr Tukei only identified the deceased as Sgt/Detective Fred Chemongesi and the injured as Mukisa, Ikalati and Statalasi, all attached to Mbale Central Police station.  The body of the deceased has been taken to the mortuary for postmortem while the injured are currently admitted at Mbale regional referral hospital,  he said.According to Mr Tukei, the officers went after the robbers after they got information that they were trailing a businessman who was heading to Bududa District.The car in which suspected armed robbers were driving As it was approaching afternoon, we received a call that there were some robbers who trailing a businessman that is why our police officers went after them,  Mr Tukei said.The police spokesperson, however, revealed that the army had been contacted for reinforcement and joint manhunt for the thugs commenced. We are searching for the thugs and we know we are going to get them,  he said before adding that one of the suspected robbers sustained severe injuries.He also appealed to the locals to be on alert and report any suspicious person in the area.One of the police officers, who preferred anonymity, told Daily Monitor that the thugs were armed with two sub-machineguns. Our guns ran out of bullets and we had nothing to do but retreat,  he said.The source added that the commanders at the Mbale central police station also delayed to send reinforcement. Our commanders delayed to send more manpower at the scene. They were just calling us on phone instead of sending reinforcement,  he said.Mr Robert Masangha, a resident and eye witness said after overpowering police, the thugs drove their vehicle and parked it for almost 30 minutes at Natodome village, trying to replace the deflated tyre but they failed and abandoned it there. We saw only four police officers in pursuit and reinforcement delayed to arrive. They would have caught them,  he said. If it was [former presidential candidate] Dr Kizza Besigye or [Kyadondo East MP Robert Kyagulanyi] Bob Wine coming to Mbale town, they would have deployed heavily but now look, they left the thugs to go scot-free,  Ms Grace Namono, another resident said.By press time, heads of security in Elgon region were in the emergency meeting to forge a way forward. ",https://www.monitor.co.ug/News/National/Officer-killed-three-others-injured-Mbale-shootout-with-robbers/688334-5118680-9cufa4/index.html,/static/img-2019-05-16/post0.png
1,South Sudan's Kiir warns against 'violent attempts to usurp power' - Daily Monitor,"South Sudan's President Salva Kiir said Wednesday that any attempt to forcibly seize power in the country would be met with ""violent resistance"", as calls for his ouster spread on social media.In the past two weeks, a new group calling itself the Red Card Movement has been circulating calls online for a protest on Thursday with the hashtags #KiirMustGo and #SouthSudanUprising, with organisers appearing to be based mostly in the diaspora.The movement appears to be inspired by street protests in neighbouring Sudan which led to the toppling of veteran president Omar al-Bashir.""Violent attempts to usurp power from the people would be met with violent resistance and the cycle of violence cannot end,"" Kiir told a press briefing.""The way to stability in South Sudan is through democracy and democratic elections, and this is what we fought for and we will not compromise it,"" Kiir said.Since last week security on the streets of Juba has been beefed up. However officials have said this was unrelated to the planned protests, but was in preparation for a public holiday Thursday celebrating those who took up arms in the fight for independence from Sudan, achieved in 2011.Army spokesman Major-General Lul Ruai Koang told AFP that the celebrations had been postponed by a week for ""final touches"" to preparations.""The security deployment and all sorts of security arrangements (are) to provide maximum security and safety for the people during the celebrations,"" he added.Independent radio station Eye Radio reported Wednesday that some Juba residents had woken up to security officers going house to house searching for guns.South Sudanese activist Keluel Agok, now living in Kampala, is among those calling for the protests.""If you want to an end the impunity please come out on 16th May 2019 to restore liberty, justice and unity in South Sudan,"" he wrote on Facebook Tuesday.South Sudan plunged into civil war in 2013 after Kiir accused his former deputy Riek Machar of plotting a coup against him.The war has left 380,000 people dead and forced more than four million South Sudanese -- almost a third of the population -- to flee their homes.A peace deal signed in September 2018 has largely stopped fighting, but implementation has run aground and the planned formation of a unity government on May 12 was postponed for six months.",https://www.monitor.co.ug/News/National/South-Sudan-s-Kiir-warns-against--violent-attempts-usurp-power-/688334-5118544-14n2idsz/index.html,/static/img-2019-05-16/post1.png
2,Sudan protesters vow to press on after talks suspended - Daily Monitor,"Sudanese protesters voiced regret Thursday at an army decision to suspend crucial talks on installing civilian rule but vowed to press on with a sit-in despite being targeted in fresh violence.Army generals and protest leaders had been expected to come to an agreement on Wednesday over the make-up of a new body to govern Sudan for three years.The issue is the thorniest to have come up in ongoing talks on reinstating civilian rule after the generals took over following the ouster of longtime autocratic president Omar al-Bashir last month.But in the early hours of Thursday, the chief of Sudan's ruling military council, General Abdel Fattah al-Burhan, announced the talks had been suspended for 72 hours as security in Khartoum had deteriorated.He demanded that protesters dismantle roadblocks in Khartoum, open bridges and railway lines connecting the capital and ""stop provoking security forces"".The Alliance for Freedom and Change, the group that is leading the protest movement and negotiating the transfer of power with the army rulers, called the move ""regrettable"".""It ignores the developments achieved in negotiations so far... and the fact that Wednesday's meeting was to finalise the agreement, which would have stopped the escalations such as roadblocks.""The protest movement vowed to press on with the ""sit-in outside the army headquarters and across the country"".- Several roadblocks removed -Protesters said the army aimed to provoke demonstrators.""They want to provoke the people by delaying the negotiations ... but the negotiations will resume now that the roadblocks have been removed,"" said Moatassim Sayid, a protester at the sit-in.On Thursday morning, several roadblocks in downtown Khartoum had been taken down, an AFP correspondent reported, adding that troops from the paramilitary Rapid Support Force (RSF) were deployed in some areas.Roadblocks on key thoroughfares in the capital are being used by demonstrators to pressure the generals to transfer power to a civilian administration.The talks began on Monday and achieved significant breakthroughs, but have also been marred by violence that left five protesters and an army major dead and many wounded from gunshots.Protesters allege that members of RSF were behind the violence.But Burhan said there were ""armed elements among demonstrators who were shooting at security forces.""He defended the paramilitary group, saying ""it had taken the side of the people"" during the uprising that toppled Bashir on April 11.The British ambassador to Khartoum said Sudanese security forces had fired at protesters on Wednesday when eight were reported wounded near the sit-in, where thousands remain camped demanding the generals step down.""Extremely concerned by use of live ammunition by Sudanese security forces against protesters in Khartoum today, with reports of civilian casualties,"" Irfan Siddiq wrote on Twitter on Wednesday.""Military council must act to stop this now. No more excuses."" US blames generals Washington blamed the military council for the bloodshed that left six dead on Monday.""The tragic attacks on protesters ... were clearly the result of the Transitional Military Council trying to impose its will on the protesters by attempting to remove roadblocks,"" the US embassy said in a statement.The protest movement said the generals wanted the demonstrators to restrict themselves to the sit-in area.Protesters are demanding a civilian-led transition, which the generals have steadfastly resisted since bowing to their demands and toppling Bashir.During the first two days of talks the two sides had agreed on an overall civilian structure, including a three-year transitional period for the full transfer of power to a civilian administration.They had also agreed that parliament be composed of 300 members for the transition, with around two-thirds from the alliance and the rest drawn from other political groups.The make-up of the new sovereign council has been the toughest part of the negotiations, with the two sides so far proposing different compositions of the body which is expected to take all key decisions concerning national issues.The generals want it to be military-led, while the protesters insist on a majority civilian body.General Yasser al-Atta, one of the members of the current ruling military council, had vowed earlier this week to reach a deal by Thursday that ""meets the people's aspirations"".The new council is expected to form a transitional civilian government, which would then prepare for the first post-Bashir election after the three-year changeover period ends.",https://www.monitor.co.ug/News/National/Sudan-protesters-vow-to-press-after-talks-suspended/688334-5118460-pp4htl/index.html,/static/img-2019-05-16/post2.png
3,"Tanzania bans plastic bags, warns travellers - Daily Monitor","The Tanzanian government has officially announced a ban on all plastic carrier bags according to a public notice to travellers planning to visit the east African nation. The country's Vice President, Samia Suluhu, through the Government Communications Unit said authorities in TZ had resolved to ban plastic bags with effect from June 1. The Government of Tanzania wishes to make an official note to travellers planning to travel to Tanzania that from 1st June 2019 all plastic carrier bags, regardless of their thickness will be prohibited from being imported, exported, manufactured, sold, stored, supplied and used in Mainland Tanzania,  the statement reads in part. Visitors to Tanzania are advised to avoid carrying plastic carrier bags or packing plastic carrier bags or items in plastic carrier bags in the suitcase or hand luggage before embarking on visit to Tanzania. Special desk will be designed at all entry points for surrender of plastic carrier bags that visitors may be bringing into Tanzania.| However, the government explained that plastic or plastic packaging for medical services, industrial products, construction industry, agricultural sector, foodstuff, sanitary and waste management are not prohibited.Three years ago, the government of Tanzania asked traders to prepare for full implementation of a plastics ban. Uganda had introduced a similar policy under former Finance Minister Saida Bbumba but didn t work. In Uganda the failed ban sought to protect environment from the dangers of plastic bags locally known as Kaveera.The Government statement also indicated that plastics carrier items known as  Ziploc bags  that are specifically designed to carry toiletries will be permitted as they are expected to remain in the permanent possession of visitors and are not expected to be disposed of in the county.",https://www.monitor.co.ug/News/World/Tanzania-bans-plastic-bags-warns-travellers/688340-5118414-g9fbnb/index.html,/static/img-2019-05-16/post3.png
4,"Kadaga vows to block free OTT, internet for MPs - Daily Monitor","PARLIAMENT- Speaker Rebecca Kadaga has vowed to block the decision by Parliament s Contracts Committee to use taxpayers  money to give free Over the Top Services (OTT) and internet data to MPs in the 10th Parliament.The Speaker made the remarks on Thursday shortly after meeting with members of the Uganda Parliamentary Press Association, an umbrella body for journalists who cover Parliament.Ms Kadaga said the decision by the Contracts Committee to award a deal to MTN Uganda to supply free internet and OTT services to MPs will have to be scrutinised afresh, on grounds that MPs should be in position to pay for the services as part of their legislative duties.She also said the controversial decision was made by the Contracts Committee of Parliament and not the Parliamentary Commission. However, it s not clear whether the Parliamentary Commission was consulted or not. I am glad you are saying it is Contracts Committee. I haven t seen the agreement but I don t believe that the public should pay OTT for MPs. I don t support it,"" Ms Kadaga said.She added: ""I don t agree with that decision and I am going to investigate who took that decision and if there is a contract, we will have to scrutinise it because I don t believe tax payers should pay MPs  taxes, that is our duty because we are carrying out our duties. Daily Monitor reported on Wednesday that Parliament had taken a decision to spend up to Shs198m, worth of taxpayers  money to pay internet data and social media tax for the 458 MPs in 10th Parliament. The MPs already enjoy free fuel, free medical insurance, free breakfast, free lunch and other benefits.MTN, in a restricted domestic bid, won the tender with a contract expected to be signed before end of May.The public has already raised reservations with many critics lashing out at MPs of acting in a selfish manner, at the pain of tax payers.[email protected]",https://www.monitor.co.ug/News/National/Kadaga-vows-block-free-OTT-internet-MPs/688334-5118138-64ng6c/index.html,/static/img-2019-05-16/post4.png
5,Museveni speaks out on Rwanda border closure - Daily Monitor,"Kampala. President Museveni has said the closure of the border by neighbouring Rwanda is a  hiccup  that will not slow the region down. Even if the border is closed, trade will go on, only that it will be through smuggling. You can t stop trade through border administration. People resort to smuggling. Others have resorted to export a lot of things to South Sudan, DR Congo, Kenya, Tanzania, etc,  he said.The President was yesterday delivering an opportunity lecture to 17 high ranking military officials from 11 countries, including the US, UK, Germany, Netherlands, and Bolivia, among others, at Masindi State Lodge in Masindi District. The team led by Rear Admiral Ross Albon from UK Royal College of Defence Studies, has been in the country for a one-week study tour of Uganda about  Uganda s Geo Politics and Economic Development . The UPDF Chief of Training and Recruitment, Maj Genl Jim Willis Byaruhanga, guided the delegation during the course of the study.Mr Museveni said market integration of Africa and political integration for strategic security will stimulate the continents prosperity and rapid economic transformation for the continent. The modern way for prosperity is exchange of goods and services for sell, the more buyers the better. We now have African Continental Free Trade Agreement (AfCFTA) where you can trade with anybody. East Africa is highly compatible, similar and linked. Our fraternity has not been emphasised,  he said.He added that the six East African countries have agreed to work for a confederation of East Africa to strengthen cooperation.South Sudan and SomaliaOn the issue of South Sudan and Somalia, President Museveni said the problem was opportunists exploiting the issue of identity as opposed to interests. Identity is multi-racial and multi-cultural and yet society is dynamic. Politics of identity is very dangerous,  he said. On the issue of refugees, President Museveni said refugees don t cause any cultural shock for the country and can be managed if development partners supported government with logistical needs.The President added, however, that when provided with education and skills, it would help refugees who return home to start a new life with new links.President Museveni described Africa as a continent of the future with a big potential if we get things right.About the investments of China and India in African economies, President Museveni said there is no problem with such investments as long as African governments can counter balance in economic and political terms.[email protected] ",https://www.monitor.co.ug/News/National/Museveni-speaks-out-Rwanda-border-closure/688334-5118012-nxqx7tz/index.html,/static/img-2019-05-16/post5.png
6,Alexander Forbes exits Uganda market - Daily Monitor,"Alexander Forbes Financial Services, one of the largest providers of retirement fund administration services in Uganda is exiting the country after years of operation.Without disclosing the details, the group made the public announcement on Thursday after what it called strategic review of the business and operating model. The company first announced the review on March 26, 2019 to its investors and the market in South Africa. In it, the strategic review outlined the company s vision for servicing its client across Africa through its advice-led solution platforms across health, wealth and career. As a result, Alexander Forbes Group Holdings Limited will exit its current in-country operations in Uganda,  a statement from the group reads in part.Mr Dowie de Villiers, the Group s Chief Executive Officer, in the statement said the process will be handled in an organised way to ensure that no one is negatively affected. The company is committed to an orderly exit from Uganda and will maintain levels of service and advice to clients. Details regarding the exit will be communicated as soon as there are material developments,  he concluded.Alexander Forbes Financial Services is the largest provider of retirement fund administration services in Uganda. They provide services in comprehensive benefit administration, accounting, consulting and actuarial services. The group according to Wikipedia, an online encyclopedia, is a diversified financial services organisation providing a broad range of retirement, consulting (including healthcare), asset management, insurance and wealth management solutions to both corporate and individual clients to create, grow and protect their wealth and assets, helping them secure a lifetime of financial well-being and security.The company was listed on the Johannesburg Stock Exchange on July 24 2014, served to strengthen pledge to create, grow and protect our clients  wealth and assets.Alexander Forbes Group Holdings, commonly referred to as Alexander Forbes is headquartered in Johannesburg, South Africa, with a presence in six other countries on the African continent: Namibia, Botswana, Zambia, Uganda, Nigeria and Zimbabwe and in the Channel Islands through offshore Jersey operation. However, it s not yet clear whether the company is also closing offices in other countries. The company has been operating in South Africa since 1935.[email protected]",https://www.monitor.co.ug/News/National/Top-South-African-firm-exits-Uganda-market/688334-5117744-14vp78tz/index.html,/static/img-2019-05-16/post6.png
7,Bukenya s wife files for divorce - Daily Monitor,"Kampala. The wife of Prof Gilbert Bukenya, Dr Margaret Mary Musoke, has filed for divorce, accusing the former vice president of abandoning his marital obligations, which has irretrievably shuttered their marriage.In the divorce suit filed in the Family Division of the High Court at Makindye on May 7, Dr Musoke contends that Prof Bukenya deserted their matrimonial home and engaged in incidents of adultery and infidelity.    in the course of the marriage, the respondent (Bukenya) has deserted your petitioner (Dr Margaret Mary Musoke Bukenya) at the family/matrimonial home, engaged in endless instances of adultery and infidelity and subjected your petitioner to endless distress and abuse amounting to cruelty,  Dr Musoke states in the suit documents. She is represented by Ligomarc Advocates. In the suit, Dr Musoke states that she lawfully married Prof Bukenya on September 21, 1974 at St Augustine Chapel, Makerere University, and that the marriage was solemonised in accordance with the Marriage Act.She contends that in 1982/83, Prof Bukenya repeatedly committed adultery with Ms Teddy Ndagire, which resulted in the birth of a son, Capt Brian Bukenya. Capt Bukenya, who was working with the elite presidential guard Special Forces Command, died in November 2009. According to particulars of the divorce suit, Prof Bukenya from the late 1990s had several other extra-marital affairs with other women, among them late Stella Njuba and Margaret Kabasinguzi Nyabongo, who was his mobiliser, and Jamila Nakku. The respondent (Bukenya) has had several other extra marital affairs, which have been highly publicised in the media much in my shame and ridicule. These women, among others, include a popular musician, Ms Irene Namubiru, and Princess Sheila Nvanungi, among others,  she states.Singer Irene Namubiru and Prof Gilbert BukenyaDr Musoke contends that she has been a witness to some of the extra-marital affairs and despite confronting her husband on the issues, Prof Bukenya has not been repentant or shown himself willing to desist from the ridiculous and demeaning behaviour.  The respondent has not spent a night at the family home in Ntinda since July 2012. Before that, he would only visit briefly in October 2011 to attend mass following his release from prison. Since July 2012, he has only visited once in May 2015,  she contends.Abandoning homeDr Musoke further states that Prof Bukenya stopped giving any support to the family and as a result, the guards assigned to her as spouse of the former vice president were later withdrawn for her inability to provide them food and other amenities. The respondent has for the last 10 years taken residence at another country home at Garuga, Katomi where he is known to host scandalous sensual parties, including the infamous bikini parties with young girls and city socialites, much to the embarrassment of your petitioner and her family,  Dr Musoke states.According to the complaint, as a result of the numerous extra- marital affairs, Dr Bukenya has had to constantly endure the agony of not only undergoing HIV and STD tests but also worrying about her safety in light of the claims from other women that her husband is theirs. That your petitioner has had the challenge of raising her children in a healthy and safe environment despite the toxic setting resulting from the respondent s aggressive and public behaviour,  Prof Bukenya s wife further contends.Bukenya and Princess Sheila NvanungiEfforts to get a comment from Prof Bukenya were futile as his known mobile telephone number was not available by press time.He is expected to file his defence against the suit within 15 days from receipt of court summons. We have, however, not established whether he has received the summons or not. Prof Bukenya is also former MP for Busiro North.BackgroundRecent case. In 2014, Prof Bukenya admitted paying Shs110 million to his former political mobiliser who sued him for allegedly seducing his wife. Prof Bukenya, through his lawyer Macdusman Kabega, told court that he had signed a Memorandum of Understanding with his accuser, Mr Emmanuel Nyabayango, where he paid him the money. On July 17, 2012, Mr Nyabayango sued Prof Bukenya, alleging that the former VP s act of seducing his wife was unconstitutional and unlawful.[email protected]",https://www.monitor.co.ug/News/National/Bukenya-s-wife-files-for-divorce/688334-5117704-mi5u4t/index.html,/static/img-2019-05-16/post7.png
8,Police shoot woman dead in attempt to foil mob justice - Daily Monitor,"A woman has been shot dead by police as they fought off a mob that wanted to lynch a widow whose husband had committed suicide after a domestic wrangle. The incident happened at Katikandegeya, Kitumbi Sub County, Kasanda District at 1.30am on Thursday.The Wamala regional police spokesman, ASP Norbert Ochom, confirmed the incident and identified the deceased as Brenda Nanyonjo.""She succumbed to injuries and died. A case of murder has been opened and investigations are ongoing,"" Mr Ochom said.The incident stems from a domestic wrangle between a one Julius Kakande and his wife Ruth Namuddu.The couple had reportedly separated, but on Wednesday night, Kakande attacked the wife armed with a hoe. Namuddu on seeing danger, ASP Ochom said, he escaped from the house and locked her husband inside the house. She returned with police and local officials, only to find out that her husband had hanged himself, which angered his relatives who were suspicious of foul play. The deceased s relatives attempted to lynch the widow but police protected her from the attackers.""Residents turned anger to police and local council officials who they pelted stones,"" ASP Ochom said.Police officers fired bullets in the air to disperse angry residents, but they only continued with the attack. In his version, ASP Ochom said livid residents attempted to disarm a police officer, prompting him to fire six bullets and one hit Brenda Nanyonjo.""The body has been taken to the mortuary for a post mortem,"" he said. The residents were later dispersed.",https://www.monitor.co.ug/News/National/Police-shoot-woman-dead-in-mob/688334-5117972-clbye2/index.html,/static/img-2019-05-16/post8.png
9,Kidnappers demand $1.5 million for Cuban doctors taken in Kenya - Daily Monitor,"Gunmen who kidnapped two Cuban doctors in northeastern Kenya and whisked them to Somalia have demanded $1.5 million (1.35 million euros) for their release, police and government sources said Thursday.The pair - a general practitioner and a surgeon - were abducted on April 12 by suspected Al-Shabaab jihadis in Mandera, near the border with Somalia.One of two police officers escorting the doctors to work was shot dead by the attackers, who sped off toward Somalia with their captives, officials said.Kenya and Somalia are working together to find the doctors, whose names have not been made public.A top government official in Mandera said the kidnappers have demanded a ransom.""The amount is $1.5 million. That is what they want,"" the official said on condition on anonymity.A senior police officer told AFP a ransom had been demanded, but would not elaborate. Kenyan police spokesman Charles Owino said he had no such information.Several sources said the doctors were believed to be providing medical services in Somalia. They were part of a group of about 100 Cubans who went to Kenya last year to boost health services there.Kenyan police sources said the kidnapping bore the hallmarks of Al-Shabaab, a militant outfit that has been waging an insurgency against Somalia's foreign-backed government for over a decade.Last November, an armed gang seized Silvia Romano, 23, an Italian charity worker, in the southeastern Kenyan town of Chakama. Her whereabouts are unknown.Police at the time warned against any speculation that Al-Shabaab, an Al-Qaeda affiliate, may have been involved in her abduction.",https://www.monitor.co.ug/News/World/Kidnappers-demand--1-5-million-Cuban-doctors-taken-Kenya/688340-5118092-11eg768/index.html,/static/img-2019-05-16/post9.png
